investment_id,company,region,plant,cost_center_code,cost_center_responsible,investment_description,investment_category,customer,car_model,commodity_id,purchasing_l1,purchasing_l2,purchasing_l3,purchasing_l4,purchasing_l5,purchasing_l6,mpp_l1,mpp_l2,mpp_value_level,mpp_l3_analysis,confirmation_required,ras_bms_budget_account,tangible_intangible,technology,comment,sustainability,productive_non_productive,condition_of_asset,already_sourced,already_sourced_2,planned_sourcing_date,unit_of_measure,quantity,value_per_item_k,source_of_funding,lcc_capable,budgeted_value_lcc_2526_k_eur,realized_lcc_2526,lcc_value_option_2526_k_eur,savings_lcc_2526_k_eur,existing_ras_number,capex_already_ordered,add_sap_budget_existing_wbs,monthly_apr_2025,monthly_may_2025,monthly_jun_2025,monthly_jul_2025,monthly_aug_2025,monthly_sep_2025,monthly_oct_2025,monthly_nov_2025,monthly_dec_2025,monthly_jan_2026,monthly_feb_2026,monthly_mar_2026,budget_q2_2025,budget_q3_2025,budget_q4_2025,budget_q1_2026,budget_fy_2526,monthly_apr_2026,monthly_may_2026,monthly_jun_2026,monthly_jul_2026,monthly_aug_2026,monthly_sep_2026,monthly_oct_2026,monthly_nov_2026,monthly_dec_2026,monthly_jan_2027,monthly_feb_2027,monthly_mar_2027,budget_q2_2026,budget_q3_2026,budget_q4_2026,budget_q1_2027,budget_fy_2627,plan_fy_2728,plan_fy_2829,plan_fy_2930,total_5y_k_eur,local_currency,currency_flag,budget_lc_2526,budget_lc_2627,plan_lc_2728,plan_lc_2829,plan_lc_2930,budget_eur_2526,budget_eur_2627,plan_eur_2728,plan_eur_2829,plan_eur_2930,total_eur_5y,empty_col_95,col_flag_96,bms_company,bms_account_code,col_flag_99,cost_center_bms,bms_apr_2025,bms_may_2025,bms_jun_2025,bms_jul_2025,bms_aug_2025,bms_sep_2025,bms_oct_2025,bms_nov_2025,bms_dec_2025,bms_jan_2026,bms_feb_2026,bms_mar_2026,bms_fy_2526,bms_fy_2627,bms_fy_2728,bms_fy_2829,bms_fy_2930,bms_5y_sum,bms_fy_2526_2627,sorting_key,internal_col_121,internal_col_122,failure_reason,quarantined_at
101031,SMP,Mexico,SMP Zitlaltepec,0.0,G.Silva,Sistemas circulatorios,Replacement,AUDI,AU436,9301.0,Paint Shop,Manual,Paint Application System,Bumper paint shop,Water based,0,Capex & Equipment,Painting lines,Unknown,Paint Application System,Unknown,New Paint Plant,Tangible,Paint Shop,Mantenimiento,not relevant,Non Productive,New,No,No,TBD,Piece,1.0,25.0,Own,No,0.0,Unknown,0.0,0.0,nan,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,USD,SMP Zitlaltepec,0.9553835865099838,0.9342301943198804,0.9342301943198804,0.9342301943198804,0.9342301943198804,210.18438903219644,0.0,0.0,0.0,0.0,210.18438903219644,Value planned,nan,SMP Zitlaltepec,RAS260012,nan,Replacement/Maintenance,0.0,0.0,210.18438903219644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.18438903219644,0.0,0.0,0.0,0.0,210.18438903219644,210.18438903219644,210.18438903219644,210.18438903219644,-219.7898156109678,V05: investment_category in valid set,2026-04-12T17:27:33.297408
101032,SMP,Iberica,SMP Polinya,0.0,J. Robles,Electrical agitators for mixing room Paintline L4,Replacement,Unknown,Unknown,9303.0,Paint Shop,Robotic,Paint Application System,Bumper paint shop,Water based,0,Capex & Equipment,Painting lines,Unknown,Paint Application System,Unknown,New Paint Plant,Tangible,Paint Shop,Unknown,Other Positive ESG Impact,Productive,New,No,No,2025-07-01 00:00:00,Each,1.0,210.0,Own,No,0.0,Unknown,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,126.0,21.0,0.0,0.0,0.0,63.0,126.0,21.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,EUR,nan,1.0,1.0,1.0,1.0,1.0,210.0,0.0,0.0,0.0,0.0,210.0,Value planned,nan,SMP Polinya,RAS260012,nan,Replacement/Maintenance,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,126.0,21.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,210.0,210.0,210,210,-209.79,V05: investment_category in valid set,2026-04-12T17:27:33.297408
101033,SMRC,LATAM,SMRC Medina,0.0,Unknown,Carpa Conveyor,Expansion,Unknown,Unknown,9677.0,Material Handling Equipment (MHE) - Lease,Other Material Handling And Storage Equipment,Unknown,Unknown,Unknown,Unknown,Logistic,Handling systems,Unknown,Unknown,Unknown,Others Lease,Tangible,Logistics,Unknown,not relevant,Non Productive,New,No,No,2025-04-01 00:00:00,each,1.0,120.0,Leasing,No,0.0,Unknown,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,30.0,30.0,30.0,90.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,30.0,30.0,30.0,120.0,120.0,120.0,120.0,570.0,EUR,nan,1.0,1.0,1.0,1.0,1.0,90.0,120.0,120.0,120.0,120.0,570.0,Value planned,nan,SMRC Medina,R99900000229,nan,Expansion Capex,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,90.0,120.0,120.0,120.0,120.0,570.0,210.0,210,570,-569.43,V05: investment_category in valid set,2026-04-12T17:27:33.297408
101034,SMRC,France & North Africa,SMRC Rougegoutte,0.0,Unknown,Dechargements auto,Rationalization,Unknown,Unknown,8506.0,Robot,Articulated Robot (Industrial),6-Axis,Handling,0,0,Capex & Equipment,Robots or/and Grippers,Unknown,Assembly,Unknown,4-6 Axis,Tangible,Secondary Equipment,Unknown,EV Programs,Productive,New,No,No,2025-07-01 00:00:00,Piece,7.0,53.0,Own,No,0.0,Unknown,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,160.0,160.0,0.0,0.0,370.0,EUR,nan,1.0,1.0,1.0,1.0,1.0,50.0,160.0,160.0,0.0,0.0,370.0,Value planned,nan,SMRC Rougegoutte,RAS280012,nan,Replacement/Maintenance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,160.0,160.0,0.0,0.0,370.0,210.0,210,370,-369.63,V05: investment_category in valid set,2026-04-12T17:27:33.297408
101035,SMRC,France & North Africa,SMRC Harnes,22127.0,Unknown,Airbag climatic chamber,Others,Unknown,Unknown,8243.0,Laboratory and Test Equipment,Environmental Testing Chambers,Others,0,0,0,Capex & Equipment,Laboratory Equipment,Unknown,Unknown,Unknown,Environmental Chambers,Tangible,Quality,Unknown,not relevant,Non Productive,New,No,No,2025-07-01 00:00:00,Piece,1.0,210.0,Unknown,No,0.0,Yes,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,105.0,0.0,105.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,EUR,nan,1.0,1.0,1.0,1.0,1.0,210.0,0.0,0.0,0.0,0.0,210.0,Value planned,nan,SMRC Harnes,RAS404301,nan,Others,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,210.0,0.0,0.0,0.0,0.0,210.0,210.0,210,210,-209.79,V05: investment_category in valid set,2026-04-12T17:27:33.297408
101036,SMP,Germany & EE,SMP Hungary,0.0,Pajor Bertold,BMW containers,Customer projects new,BMW,NA5/NA7 Door,9626.0,Plant equipment,Heating Ventilation and Air Conditioning,Air Conditioning System,0,0,0,Facility,Air System and Materials,Unknown,Unknown,Unknown,Air Conditioner / HVAC / Ventillation,Tangible,Energy,Unknown,not relevant,Productive,New,Yes,Yes,01/2024,Piece,1.0,208.56,Own,No,0.0,No,0.0,0.0,nan,0.0,0.0,208.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.56,0.0,0.0,0.0,208.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.56,EUR,nan,1.0,1.0,1.0,1.0,1.0,208.56,0.0,0.0,0.0,0.0,208.56,Value planned,nan,SMP Hungary,RAS404201,nan,Customer Projects,208.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.56,0.0,0.0,0.0,0.0,208.56,208.56,208.56,208.56,-208.35144,V05: investment_category in valid set,2026-04-12T17:27:33.297408
101031,SMRC,Germany & EE,SMRC Kaluga,0.0,Unknown,Quality check for foaming process,Customer projects new,CHERY,T18 / T19E / T1E / M36 / M32,8594.0,Assembly / Secondary Equipment,Foaming Machine,Machine,Robotic Cell Incl Dosing & Metering Foaming System,0,0,Capex & Equipment,Foaming,Unknown,Unknown,Unknown,SPM - Edge Folding  / Foaming  / Gluing  / Labelling / Marking  / Sewing  / Slush / Other Machine,Tangible,Foaming,Unknown,not relevant,Productive,New,No,No,nan,Each,1.0,0.0,Own,No,0.0,Unknown,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19760.76,0.0,0.0,0.0,19760.76,19760.76,0.0,0.0,0.0,19760.76,RUB,nan,0.0090554692770566,0.0078920244779031,0.0078920244779031,0.0078920244779031,0.0078920244779031,0.0,155.95240162196887,0.0,0.0,0.0,155.95240162196887,Value planned,nan,SMRC Kaluga,RAS110022,nan,Customer Projects,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.95240162196887,0.0,0.0,0.0,155.95240162196887,155.95240162196887,155.95240162196887,155.95240162196887,-19760.604047598375,V05: investment_category in valid set,2026-04-12T17:27:33.297408
101031,SMP,Iberica,MRA,0.0,Unknown,Others,Others,Unknown,Unknown,8005.0,0,0,0,0,0,0,No L1-L3 Given,No L1-L3 Given,Unknown,Unknown,Unknown,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,No,nan,Unknown,0.0,0.0,Unknown,No,0.0,Unknown,0.0,0.0,nan,0.0,0.0,0.0,75.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,15.0,75.0,35.0,0.0,15.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,EUR,nan,1.0,1.0,1.0,1.0,1.0,125.0,0.0,0.0,0.0,0.0,125.0,Value planned,nan,MRA,RAS404506,nan,Others,0.0,75.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,15.0,125.0,0.0,0.0,0.0,0.0,125.0,125.0,125,125,-124.875,V05: investment_category in valid set,2026-04-12T17:27:33.297408
101032,SMP,Germany & EE,CEFA Poland,0.0,Unknown,Customer projects repeat,Customer projects repeat,STELLANTIS,X250 DP,8005.0,0,0,0,0,0,0,No L1-L3 Given,No L1-L3 Given,Unknown,Unknown,Unknown,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,No,nan,Unknown,0.0,0.0,Unknown,No,0.0,Unknown,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.5,0.0,0.0,0.0,0.0,0.0,534.5,0.0,534.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.5,EUR,nan,0.2338634237605238,0.2268756948068153,0.2268756948068153,0.2268756948068153,0.2268756948068153,125.0,0.0,0.0,0.0,0.0,125.0,Value planned,nan,CEFA Poland,RAS404506,nan,Customer Projects,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,125.0,125.0,125,125,-534.375,V05: investment_category in valid set,2026-04-12T17:27:33.297408
101033,Other,Germany & EE,MDRSC-Headquarter,11800521.0,A. Szefer,Lizensen,Others,0,0,303.0,IT and Communications,Software/Licenses,ERP,SAP,0,0,IT,IT Software,Unknown,Unknown,Unknown,Software - ERP,Intangible,IT,topflow license incl. Replacement PROSES,not relevant,Non Productive,New,Yes,Yes,06/2026,piece,1.0,125.0,Own,No,0.0,Unknown,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,125.0,0.0,0.0,0.0,125.0,EUR,nan,1.0,1.0,1.0,1.0,1.0,0.0,125.0,0.0,0.0,0.0,125.0,Value planned,nan,MDRSC-Headquarter,RAS170013,Software - ERP,Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,125.0,125.0,125,125,-124.875,V05: investment_category in valid set,2026-04-12T17:27:33.297408
101034,SMP,Germany & EE,SMP Oldenburg,0.0,N. Christophers,VW ID.4 PA Blende Softnose Frachtbehälter nach Lack,Customer projects new,VW,ID.4 PA,1046.0,Packaging,External Usage,Customized,Bin / Box/ Tote,Steel,With inserts/ Inlays/ Dividers,Direct Material Logsitic,Direct Material Logsitic,Unknown,Unknown,Unknown,Plastic Bins / Totes,Tangible,Logistics,Unknown,not relevant,Productive,New,No,No,2025-11-01 00:00:00,Box,54.0,2.310601851851852,Unknown,No,0.0,Unknown,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.84,0.0,0.0,0.0,0.0,111.84,111.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.93249999999999,0.0,0.0,0.0,124.7725,EUR,nan,1.0,1.0,1.0,1.0,1.0,111.84,12.93249999999999,0.0,0.0,0.0,124.7725,Value planned,nan,SMP Oldenburg,RAS404701,nan,Customer Projects,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.84,0.0,111.84,12.93249999999999,0.0,0.0,0.0,124.7725,124.7725,124.7725,124.7725,-124.64772749999999,V05: investment_category in valid set,2026-04-12T17:27:33.297408
101035,SMP,Germany & EE,SMP Oldenburg,0.0,N. Christophers,VW ID.4 PA Spoiler hinten R-Line Frachtbehälter nach Lack,Customer projects new,VW,ID.4 PA,1046.0,Packaging,External Usage,Customized,Bin / Box/ Tote,Steel,With inserts/ Inlays/ Dividers,Direct Material Logsitic,Direct Material Logsitic,Unknown,Unknown,Unknown,Plastic Bins / Totes,Tangible,Logistics,Unknown,not relevant,Productive,New,No,No,2025-11-01 00:00:00,Box,63.0,1.9637301587301588,Unknown,No,0.0,Unknown,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.715,0.0,0.0,0.0,123.715,EUR,nan,1.0,1.0,1.0,1.0,1.0,0.0,123.715,0.0,0.0,0.0,123.715,Value planned,nan,SMP Oldenburg,RAS404701,nan,Customer Projects,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.715,0.0,0.0,0.0,123.715,123.715,123.715,123.715,-123.591285,V05: investment_category in valid set,2026-04-12T17:27:33.297408
101031,SMP,Germany & EE,SMP Oldenburg,0.0,T.Bonhagen,MC Hannover - Werkerführung Montagelinie,Expansion,Unknown,Unknown,8005.0,Plant equipment,Other plant equipment,0,0,0,0,Capex & Equipment,Plant Equipment,Unknown,General Planning & Reserves,Unknown,Other Plant Equipment,Tangible,Others/exemption limit,Unknown,not relevant,Productive,New,No,No,2025-04-01 00:00:00,Each,1.0,113.6,Unknown,No,0.0,Unknown,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,71.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.48,0.0,0.0,71.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.11999999999999,0.0,0.0,0.0,113.6,EUR,nan,1.0,1.0,1.0,1.0,1.0,71.48,42.11999999999999,0.0,0.0,0.0,113.6,Value planned,nan,SMP Oldenburg,RAS404506,nan,Expansion Capex,0.0,0.0,0.0,71.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.48,42.11999999999999,0.0,0.0,0.0,113.6,113.6,113.6,113.6,-113.48639999999999,V05: investment_category in valid set,2026-04-12T17:27:33.297408
101032,SMP,Germany & EE,SMP Oldenburg,0.0,M. Foelck,Invest MC Hannover,Others,Unknown,Unknown,8005.0,Plant equipment,Other plant equipment,0,0,0,0,Capex & Equipment,Plant Equipment,Unknown,General Planning & Reserves,Unknown,Other Plant Equipment,Tangible,Others/exemption limit,Unknown,not relevant,Productive,New,No,No,2025-06-01 00:00:00,Each,1.0,113.6,Unknown,No,0.0,Unknown,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,71.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.48,0.0,0.0,71.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.11999999999999,0.0,0.0,0.0,113.6,EUR,nan,1.0,1.0,1.0,1.0,1.0,71.48,42.11999999999999,0.0,0.0,0.0,113.6,Value planned,nan,SMP Oldenburg,RAS404506,nan,Others,0.0,0.0,0.0,71.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.48,42.11999999999999,0.0,0.0,0.0,113.6,113.6,113.6,113.6,-113.48639999999999,V05: investment_category in valid set,2026-04-12T17:27:33.297408
101033,SMP,LATAM,SMP Atibaia,0.0,Unknown,Gas stove oven for electric,"Environment, Health & Safety (EHS)",Unknown,Unknown,4283.0,Paint Shop,Retrofit/Refurbishment,Robotic,Paint Application System,Bumper paint shop,Solvent based,Capex & Equipment,Painting lines,Unknown,Refurbishment / Others,Unknown,Retrofit / Refurbishment,Tangible,Paint Shop,Unknown,Other Positive ESG Impact,Productive,New,No,No,nan,Each,1.0,800.0,Unknown,No,0.0,Unknown,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,800.0,0.0,0.0,0.0,800.0,BRL,nan,0.1589597672829007,0.1414067139907802,0.1414067139907802,0.1414067139907802,0.1414067139907802,0.0,113.12537119262424,0.0,0.0,0.0,113.12537119262424,Value planned,nan,SMP Atibaia,RAS110023,nan,Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.12537119262424,0.0,0.0,0.0,113.12537119262424,113.12537119262424,113.12537119262423,113.12537119262423,-799.8868746288074,V05: investment_category in valid set,2026-04-12T17:27:33.297408
101034,SMP,USA,SMP USA,0.0,Unknown,Speaker Detection on Assembly Line Interior,Rationalization,Unknown,Unknown,9658.0,Assembly / Secondary Equipment,Assembly vision control,Camera / Vision Sensor,Assembly Stations,0,0,Capex & Equipment,Assembly,<200k,Vision / EOL,No,Vision Control System - Vision Testing / Measurement,Tangible,Secondary Equipment,Speaker Detection on Assembly Line Interior,not relevant,Non Productive,New,No,No,nan,Unknown,0.0,0.0,Borrowings,No,0.0,Unknown,0.0,0.0,nan,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,120.0,USD,nan,0.9553835865099838,0.9342301943198804,0.9342301943198804,0.9342301943198804,0.9342301943198804,38.21534346039935,74.73841554559043,0.0,0.0,0.0,112.95375900598978,Value planned,nan,SMP USA,RAS110019,nan,Replacement/Maintenance,0.0,0.0,38.21534346039935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.21534346039935,74.73841554559043,0.0,0.0,0.0,112.95375900598978,112.95375900598978,112.95375900598978,112.95375900598978,-119.88704624099401,V05: investment_category in valid set,2026-04-12T17:27:33.297408
